umur,setoran_per_minggu,murojaah_per_minggu,kehadiran,nilai_ujian,konsistensi,progress
16,11,5,90,71,1.57,sedang
16,3,4,100,61,0.43,lambat
16,3,3,71,75,0.43,lambat
18,8,7,57,88,1.14,lambat
15,4,5,76,85,0.57,sedang
15,1,3,71,90,0.14,lambat
13,3,2,83,84,0.43,lambat
12,3,2,80,67,0.43,lambat
14,3,0,69,81,0.43,lambat
13,9,3,64,78,1.29,lambat
14,3,1,100,66,0.43,lambat
16,5,3,100,93,0.71,sedang
16,5,2,82,82,0.71,sedang
14,4,7,63,74,0.57,lambat
15,0,4,70,59,0.0,lambat
15,2,0,94,71,0.29,lambat
14,5,5,89,68,0.71,sedang
12,4,5,82,60,0.57,sedang
12,5,8,71,81,0.71,sedang
13,0,2,75,73,0.0,lambat
13,4,4,86,88,0.57,sedang
16,10,6,97,76,1.43,sedang
17,10,5,67,91,1.43,lambat
15,11,0,90,77,1.57,sedang
17,8,0,73,82,1.14,sedang
18,2,2,73,73,0.29,lambat
16,3,3,62,73,0.43,lambat
17,9,1,62,73,1.29,lambat
13,10,2,80,61,1.43,sedang
17,4,3,65,85,0.57,lambat
18,2,5,82,74,0.29,lambat
17,4,3,72,73,0.57,sedang
17,8,5,87,75,1.14,sedang
12,5,2,91,68,0.71,sedang
12,3,3,91,71,0.43,lambat
18,2,6,88,52,0.29,lambat
18,0,0,51,76,0.0,lambat
12,4,3,74,96,0.57,sedang
18,8,6,70,73,1.14,sedang
13,4,3,82,69,0.57,sedang
18,0,6,97,82,0.0,lambat
13,5,0,72,77,0.71,sedang
13,3,6,85,73,0.43,lambat
13,11,1,52,72,1.57,lambat
15,6,5,70,72,0.86,sedang
13,8,6,80,88,1.14,sedang
15,0,4,88,82,0.0,lambat
18,1,7,66,81,0.14,lambat
16,4,4,66,75,0.57,lambat
18,2,2,71,67,0.29,lambat
12,11,3,72,77,1.57,sedang
15,3,4,67,69,0.43,lambat
17,3,7,96,58,0.43,lambat
14,10,3,70,64,1.43,sedang
17,1,5,75,96,0.14,lambat
18,2,3,85,88,0.29,lambat
12,6,0,84,58,0.86,sedang
16,4,4,82,94,0.57,sedang
12,6,7,89,88,0.86,sedang
17,5,4,75,85,0.71,sedang
18,3,7,52,79,0.43,lambat
12,10,0,79,80,1.43,sedang
12,12,4,100,74,1.71,sedang
17,2,0,90,71,0.29,lambat
15,8,3,74,72,1.14,sedang
13,5,7,76,69,0.71,sedang
15,0,6,40,80,0.0,lambat
12,10,1,90,78,1.43,sedang
14,3,6,91,69,0.43,lambat
16,6,0,73,92,0.86,sedang
15,3,5,99,74,0.43,lambat
14,1,3,100,73,0.14,lambat
18,2,3,75,61,0.29,lambat
13,5,3,74,77,0.71,sedang
12,4,2,84,63,0.57,sedang
16,3,4,83,74,0.43,lambat
15,6,2,84,63,0.86,sedang
14,3,1,52,70,0.43,lambat
12,5,1,65,71,0.71,lambat
15,4,5,71,82,0.57,sedang
17,5,4,78,67,0.71,sedang
13,7,3,68,89,1.0,lambat
18,0,5,78,71,0.0,lambat
15,8,6,78,90,1.14,sedang
13,5,1,75,73,0.71,sedang
15,8,4,69,79,1.14,lambat
16,6,4,79,73,0.86,sedang
15,7,4,66,79,1.0,lambat
13,7,2,95,56,1.0,sedang
13,0,2,72,90,0.0,lambat
16,6,6,76,95,0.86,sedang
18,5,6,74,76,0.71,sedang
18,10,2,90,77,1.43,sedang
18,1,6,87,69,0.14,lambat
15,5,2,61,76,0.71,lambat
14,5,6,89,67,0.71,sedang
15,4,8,49,58,0.57,lambat
15,4,0,78,74,0.57,sedang
12,2,5,67,73,0.29,lambat
15,3,8,93,84,0.43,lambat
18,6,2,68,70,0.86,lambat
16,3,4,66,67,0.43,lambat
16,6,3,91,90,0.86,sedang
15,5,4,89,83,0.71,sedang
17,7,3,79,69,1.0,sedang
13,5,1,77,77,0.71,sedang
14,2,7,93,70,0.29,lambat
13,3,4,68,77,0.43,lambat
16,5,2,87,82,0.71,sedang
17,10,5,81,77,1.43,sedang
17,7,3,62,72,1.0,lambat
15,6,2,70,88,0.86,sedang
14,6,0,72,89,0.86,sedang
15,1,2,55,81,0.14,lambat
12,9,2,93,74,1.29,sedang
18,3,6,100,67,0.43,lambat
14,5,2,74,67,0.71,sedang
17,2,3,58,83,0.29,lambat
16,4,3,82,72,0.57,sedang
18,8,2,100,65,1.14,sedang
14,6,7,98,79,0.86,sedang
14,3,2,87,62,0.43,lambat
17,4,3,91,72,0.57,sedang
18,7,5,68,86,1.0,lambat
17,10,0,97,85,1.43,cepat
17,9,5,73,77,1.29,sedang
17,2,6,96,77,0.29,lambat
12,3,2,85,64,0.43,lambat
17,0,0,88,80,0.0,lambat
13,1,3,90,77,0.14,lambat
12,7,3,80,62,1.0,sedang
12,2,2,82,92,0.29,lambat
16,5,4,95,91,0.71,sedang
12,6,4,64,69,0.86,lambat
14,3,3,90,91,0.43,lambat
14,5,4,75,70,0.71,sedang
13,6,5,51,86,0.86,lambat
16,10,1,91,74,1.43,sedang
13,4,2,73,87,0.57,sedang
12,4,4,78,75,0.57,sedang
12,7,4,81,61,1.0,sedang
15,3,0,78,68,0.43,lambat
17,3,5,100,62,0.43,lambat
13,8,2,79,81,1.14,sedang
17,12,5,85,80,1.71,sedang
14,5,2,76,75,0.71,sedang
14,6,5,82,79,0.86,sedang
14,9,6,80,59,1.29,sedang
15,3,5,95,78,0.43,lambat
18,4,1,60,76,0.57,lambat
18,3,7,100,94,0.43,lambat
12,6,1,74,68,0.86,sedang
16,7,3,100,70,1.0,sedang
17,2,3,85,89,0.29,lambat
16,0,3,93,65,0.0,lambat
13,4,2,87,74,0.57,sedang
13,3,5,71,80,0.43,lambat
16,7,1,71,76,1.0,sedang
15,8,5,69,78,1.14,lambat
14,8,8,58,87,1.14,lambat
13,0,1,81,70,0.0,lambat
18,6,2,60,77,0.86,lambat
16,0,2,95,76,0.0,lambat
18,3,4,75,90,0.43,lambat
18,0,3,100,71,0.0,lambat
17,2,4,88,64,0.29,lambat
12,9,5,95,75,1.29,sedang
18,7,2,77,64,1.0,sedang
15,3,2,65,89,0.43,lambat
17,4,6,79,58,0.57,sedang
15,3,5,63,73,0.43,lambat
17,3,4,76,82,0.43,lambat
15,6,4,73,84,0.86,sedang
13,7,7,80,64,1.0,sedang
17,2,3,78,60,0.29,lambat
14,7,6,92,81,1.0,sedang
17,3,5,66,69,0.43,lambat
14,3,3,78,70,0.43,lambat
15,4,5,54,82,0.57,lambat
13,5,4,67,82,0.71,lambat
12,5,4,93,77,0.71,sedang
15,7,2,100,70,1.0,sedang
17,8,3,77,57,1.14,sedang
17,7,5,70,80,1.0,sedang
14,5,0,83,57,0.71,sedang
18,6,2,75,61,0.86,sedang
15,9,6,64,52,1.29,lambat
15,2,4,52,78,0.29,lambat
18,5,5,84,84,0.71,sedang
13,9,4,73,81,1.29,sedang
18,3,4,94,84,0.43,lambat
14,0,6,72,82,0.0,lambat
15,5,3,92,60,0.71,sedang
16,12,4,96,80,1.71,sedang
15,4,0,83,82,0.57,sedang
15,1,4,95,78,0.14,lambat
13,5,5,93,63,0.71,sedang
14,5,4,81,86,0.71,sedang
16,2,5,45,71,0.29,lambat
18,11,5,76,70,1.57,sedang
17,0,4,42,80,0.0,lambat
17,3,2,91,63,0.43,lambat
18,4,4,83,73,0.57,sedang
12,2,1,100,78,0.29,lambat
17,5,3,97,61,0.71,sedang
16,1,7,73,89,0.14,lambat
16,9,4,40,67,1.29,lambat
12,4,2,99,78,0.57,sedang
12,7,3,80,69,1.0,sedang
15,8,4,100,76,1.14,sedang
15,6,2,81,75,0.86,sedang
12,2,5,90,68,0.29,lambat
17,8,6,52,78,1.14,lambat
14,3,3,53,81,0.43,lambat
17,5,4,86,82,0.71,sedang
13,3,5,68,79,0.43,lambat
13,2,2,70,60,0.29,lambat
12,4,3,53,76,0.57,lambat
14,9,0,92,73,1.29,sedang
12,8,7,63,68,1.14,lambat
12,5,9,91,72,0.71,sedang
13,4,2,68,73,0.57,lambat
18,2,3,98,50,0.29,lambat
18,6,0,53,74,0.86,lambat
15,6,2,83,64,0.86,sedang
16,0,5,97,72,0.0,lambat
13,5,4,76,70,0.71,sedang
17,4,4,90,75,0.57,sedang
15,5,8,53,70,0.71,lambat
16,3,2,100,65,0.43,lambat
12,5,3,96,65,0.71,sedang
17,7,3,86,63,1.0,sedang
12,7,1,78,69,1.0,sedang
13,1,2,72,78,0.14,lambat
18,6,5,79,69,0.86,sedang
16,0,2,47,80,0.0,lambat
16,1,4,83,71,0.14,lambat
15,7,3,100,80,1.0,sedang
16,1,5,92,76,0.14,lambat
16,7,4,56,66,1.0,lambat
18,6,4,68,82,0.86,lambat
17,11,4,99,52,1.57,sedang
14,4,3,45,80,0.57,lambat
17,9,0,75,76,1.29,sedang
13,4,3,81,54,0.57,sedang
15,3,0,78,84,0.43,lambat
15,7,4,98,81,1.0,sedang
14,5,5,65,72,0.71,lambat
15,7,2,79,81,1.0,sedang
18,3,7,46,63,0.43,lambat
13,5,2,74,83,0.71,sedang
15,0,5,60,75,0.0,lambat
13,5,4,81,63,0.71,sedang
12,7,4,92,75,1.0,sedang
13,0,6,69,76,0.0,lambat
18,1,5,66,78,0.14,lambat
16,7,4,65,81,1.0,lambat
15,1,6,61,68,0.14,lambat
16,4,1,100,94,0.57,sedang
17,0,4,83,90,0.0,lambat
15,1,3,100,75,0.14,lambat
13,7,1,83,84,1.0,sedang
12,9,4,79,73,1.29,sedang
18,7,1,93,72,1.0,sedang
15,2,4,70,65,0.29,lambat
18,6,5,76,96,0.86,sedang
13,6,3,89,80,0.86,sedang
14,6,7,88,83,0.86,sedang
13,5,6,66,59,0.71,lambat
17,9,3,55,64,1.29,lambat
18,7,0,65,69,1.0,lambat
17,4,1,87,83,0.57,sedang
12,0,5,90,78,0.0,lambat
16,7,6,74,89,1.0,sedang
13,0,4,69,78,0.0,lambat
17,5,5,51,95,0.71,lambat
16,0,0,100,75,0.0,lambat
18,9,7,71,84,1.29,sedang
13,4,3,84,67,0.57,sedang
18,5,2,100,78,0.71,sedang
15,7,4,45,80,1.0,lambat
16,0,4,81,79,0.0,lambat
12,3,5,85,65,0.43,lambat
12,8,3,100,66,1.14,sedang
15,2,5,76,59,0.29,lambat
12,3,5,77,84,0.43,lambat
14,4,6,51,84,0.57,lambat
16,8,3,96,73,1.14,sedang
14,2,3,69,88,0.29,lambat
15,7,5,78,85,1.0,sedang
16,6,4,75,70,0.86,sedang
14,2,5,100,59,0.29,lambat
18,0,1,92,77,0.0,lambat
16,1,1,85,82,0.14,lambat
18,5,2,100,76,0.71,sedang
14,7,3,62,79,1.0,lambat
14,2,6,64,88,0.29,lambat
16,6,5,80,91,0.86,sedang
12,9,4,73,94,1.29,sedang
12,4,4,98,78,0.57,sedang
15,6,3,100,85,0.86,sedang
12,4,3,64,77,0.57,lambat
18,7,3,77,62,1.0,sedang
17,0,0,83,74,0.0,lambat
14,6,6,76,72,0.86,sedang
13,10,6,89,72,1.43,sedang
13,2,4,64,75,0.29,lambat
14,4,5,54,58,0.57,lambat
14,5,1,78,71,0.71,sedang
14,3,6,71,77,0.43,lambat
13,4,5,100,56,0.57,sedang
17,8,2,69,72,1.14,lambat
15,2,5,71,71,0.29,lambat
17,8,3,83,65,1.14,sedang
18,3,3,53,75,0.43,lambat
17,2,1,52,78,0.29,lambat
18,5,6,85,97,0.71,sedang
17,7,2,81,77,1.0,sedang
16,2,2,78,74,0.29,lambat
16,6,5,73,71,0.86,sedang
18,13,2,88,71,1.86,sedang
13,3,6,81,75,0.43,lambat
12,2,5,100,85,0.29,lambat
14,11,3,100,63,1.57,sedang
12,2,4,99,78,0.29,lambat
13,3,2,82,76,0.43,lambat
17,5,3,88,75,0.71,sedang
14,5,2,92,71,0.71,sedang
13,2,3,100,78,0.29,lambat
17,2,4,70,85,0.29,lambat
18,4,8,69,82,0.57,lambat
14,2,2,69,88,0.29,lambat
16,4,8,76,63,0.57,sedang
15,4,5,82,64,0.57,sedang
18,5,5,89,69,0.71,sedang
15,6,1,97,62,0.86,sedang
18,5,5,85,62,0.71,sedang
17,4,0,76,86,0.57,sedang
16,6,4,86,78,0.86,sedang
17,4,1,80,62,0.57,sedang
12,6,8,76,65,0.86,sedang
15,3,2,72,81,0.43,lambat
17,0,2,78,71,0.0,lambat
16,8,0,88,65,1.14,sedang
16,5,3,100,84,0.71,sedang
14,5,2,100,89,0.71,sedang
18,3,0,81,73,0.43,lambat
17,5,3,81,68,0.71,sedang
13,4,0,59,59,0.57,lambat
13,8,0,79,64,1.14,sedang
14,5,1,97,85,0.71,sedang
12,0,3,96,90,0.0,lambat
12,5,6,58,57,0.71,lambat
17,8,4,89,75,1.14,sedang
16,0,6,59,87,0.0,lambat
14,4,4,77,70,0.57,sedang
14,0,1,97,86,0.0,lambat
16,6,4,85,81,0.86,sedang
17,0,4,86,68,0.0,lambat
12,2,5,66,77,0.29,lambat
14,0,2,77,73,0.0,lambat
17,4,4,72,50,0.57,sedang
17,0,0,89,76,0.0,lambat
16,2,2,93,70,0.29,lambat
13,8,5,93,74,1.14,sedang
16,0,4,79,80,0.0,lambat
18,5,0,92,88,0.71,sedang
17,10,5,95,78,1.43,sedang
15,3,5,81,78,0.43,lambat
16,3,2,58,69,0.43,lambat
17,5,4,84,70,0.71,sedang
15,4,5,71,96,0.57,sedang
13,2,3,100,66,0.29,lambat
12,6,6,100,92,0.86,sedang
17,5,4,55,72,0.71,lambat
17,3,3,85,61,0.43,lambat
13,3,2,91,81,0.43,lambat
15,0,1,68,73,0.0,lambat
17,5,4,65,62,0.71,lambat
15,6,2,90,72,0.86,sedang
18,2,4,72,79,0.29,lambat
15,8,4,74,77,1.14,sedang
12,5,4,73,82,0.71,sedang
16,5,2,85,82,0.71,sedang
14,4,6,100,60,0.57,sedang
13,6,1,51,87,0.86,lambat
18,6,2,83,81,0.86,sedang
16,9,1,100,84,1.29,sedang
12,6,1,69,67,0.86,lambat
18,8,2,100,84,1.14,sedang
12,5,5,81,88,0.71,sedang
13,2,3,56,82,0.29,lambat
16,0,0,74,64,0.0,lambat
16,1,6,91,94,0.14,lambat
12,2,1,57,75,0.29,lambat
14,7,3,40,89,1.0,lambat
14,6,2,75,91,0.86,sedang
17,3,4,79,85,0.43,lambat
13,4,7,95,80,0.57,sedang
12,6,3,67,71,0.86,lambat
17,10,0,55,55,1.43,lambat
13,7,6,71,62,1.0,sedang
14,5,5,76,66,0.71,sedang
18,4,9,73,77,0.57,sedang
17,4,1,92,83,0.57,sedang
16,8,6,77,63,1.14,sedang
12,3,5,82,73,0.43,lambat
17,5,7,85,58,0.71,sedang
18,6,2,72,85,0.86,sedang
15,12,4,67,76,1.71,lambat
15,6,5,93,76,0.86,sedang
15,11,4,40,84,1.57,lambat
14,1,5,86,87,0.14,lambat
16,8,2,85,79,1.14,sedang
12,7,7,100,84,1.0,sedang
17,3,7,70,67,0.43,lambat
13,4,5,67,75,0.57,lambat
13,2,3,88,75,0.29,lambat
12,3,6,69,72,0.43,lambat
12,4,5,84,74,0.57,sedang
13,6,6,70,91,0.86,sedang
16,2,4,68,80,0.29,lambat
17,3,4,100,61,0.43,lambat
17,1,5,91,73,0.14,lambat
13,4,2,88,68,0.57,sedang
15,3,3,78,52,0.43,lambat
16,7,1,87,73,1.0,sedang
16,2,4,75,59,0.29,lambat
